subject,total_cases,avg_concentration,avg_exceed_ratio,records,municipality,settlement,OKTMO,location
Новосибирская область,389,95.59423496143958,12237.577394927535,389,Новосибирск,г. Новосибирск,50701000001,"Новосибирская область, г. Новосибирск"
Новосибирская область,389,95.59423496143958,12237.577394927535,389,Новосибирск,г. Новосибирск,50701000001,"Новосибирская область, г. Новосибирск"
Новосибирская область,389,95.59423496143958,12237.577394927535,389,Новосибирск,г. Новосибирск,50701000001,"Новосибирская область, г. Новосибирск"
Новосибирская область,389,95.59423496143958,12237.577394927535,389,Кочковский район,с. Черновка,50625419101,"Новосибирская область, с. Черновка"
Новосибирская область,389,95.59423496143958,12237.577394927535,389,Новосибирск,г. Новосибирск,50701000001,"Новосибирская область, г. Новосибирск"
Новосибирская область,389,95.59423496143958,12237.577394927535,389,Новосибирск,г. Новосибирск,50701000001,"Новосибирская область, г. Новосибирск"
Новосибирская область,389,95.59423496143958,12237.577394927535,389,Новосибирск,г. Новосибирск,50701000001,"Новосибирская область, г. Новосибирск"
Новосибирская область,389,95.59423496143958,12237.577394927535,389,Новосибирск,г. Новосибирск,50701000001,"Новосибирская область, г. Новосибирск"
Новосибирская область,389,95.59423496143958,12237.577394927535,389,Новосибирск,г. Новосибирск,50701000001,"Новосибирская область, г. Новосибирск"
Новосибирская область,389,95.59423496143958,12237.577394927535,389,Новосибирск,г. Новосибирск,50701000001,"Новосибирская область, г. Новосибирск"
Новосибирская область,389,95.59423496143958,12237.577394927535,389,Тогучинский район,д. Кусмень,50652422111,"Новосибирская область, д. Кусмень"
Новосибирская область,389,95.59423496143958,12237.577394927535,389,Новосибирск,г. Новосибирск,50701000001,"Новосибирская область, г. Новосибирск"
Новосибирская область,389,95.59423496143958,12237.577394927535,389,Новосибирск,г. Новосибирск,50701000001,"Новосибирская область, г. Новосибирск"
Новосибирская область,389,95.59423496143958,12237.577394927535,389,Новосибирск,г. Новосибирск,50701000001,"Новосибирская область, г. Новосибирск"
Новосибирская область,389,95.59423496143958,12237.577394927535,389,Новосибирск,г. Новосибирск,50701000001,"Новосибирская область, г. Новосибирск"
Новосибирская область,389,95.59423496143958,12237.577394927535,389,Новосибирск,г. Новосибирск,50701000001,"Новосибирская область, г. Новосибирск"
Новосибирская область,389,95.59423496143958,12237.577394927535,389,Новосибирск,г. Новосибирск,50701000001,"Новосибирская область, г. Новосибирск"
Новосибирская область,389,95.59423496143958,12237.577394927535,389,Новосибирск,г. Новосибирск,50701000001,"Новосибирская область, г. Новосибирск"
Новосибирская область,389,95.59423496143958,12237.577394927535,389,Новосибирск,г. Новосибирск,50701000001,"Новосибирская область, г. Новосибирск"
Новосибирская область,389,95.59423496143958,12237.577394927535,389,Новосибирск,г. Новосибирск,50701000001,"Новосибирская область, г. Новосибирск"
Новосибирская область,389,95.59423496143958,12237.577394927535,389,Новосибирск,г. Новосибирск,50701000001,"Новосибирская область, г. Новосибирск"
Новосибирская область,389,95.59423496143958,12237.577394927535,389,Новосибирск,г. Новосибирск,50701000001,"Новосибирская область, г. Новосибирск"
Новосибирская область,389,95.59423496143958,12237.577394927535,389,Новосибирск,г. Новосибирск,50701000001,"Новосибирская область, г. Новосибирск"
Новосибирская область,389,95.59423496143958,12237.577394927535,389,Новосибирск,г. Новосибирск,50701000001,"Новосибирская область, г. Новосибирск"
Новосибирская область,389,95.59423496143958,12237.577394927535,389,Новосибирск,г. Новосибирск,50701000001,"Новосибирская область, г. Новосибирск"
Новосибирская область,389,95.59423496143958,12237.577394927535,389,Новосибирск,г. Новосибирск,50701000001,"Новосибирская область, г. Новосибирск"
Новосибирская область,389,95.59423496143958,12237.577394927535,389,Новосибирск,г. Новосибирск,50701000001,"Новосибирская область, г. Новосибирск"
