id,period,okato,subject,river_basin,indicator,hazard_class,cnt_cases,value_min,value_max,unit,indicator,pdk_hazard_class,pdk_value,date_start,date_end,ingredient_npa,in_period,concentration_mg_l
61,2008-02-29,19000000000,Вологодская область,р. Северная Двина,Фенол,3,1,32.0,32.0,ПДК,Фенол,3,0.001,1999-04-28,2010-01-17,Госкомрыболовство-99,true,0.032
62,2008-02-29,19000000000,Вологодская область,р. Северная Двина,Растворенный кислород,0,3,2.57,2.91,мг/л,,,,,,,,2.91
63,2008-02-29,19000000000,Вологодская область,р. Северная Двина,БПК5,0,1,12.0,12.0,ПДК,,,,,,,,
64,2008-02-29,19000000000,Вологодская область,р. Северная Двина,ХПК,0,1,25.0,25.0,ПДК,,,,,,,,
65,2008-02-29,76000000000,Забайкальский край,р. Амур,Нитрит-ионы,4э,1,12.0,12.0,ПДК,Нитрит-ионы,4э,0.02,2016-12-13,2099-12-31,Минсельхоз-2016,false,0.24
66,2008-02-29,32000000000,Кемеровская область - Кузбасс,р. Обь,Цинк,3,2,25.0,37.0,ПДК,Цинк,3,1.0,2003-04-30,2021-01-27,СанПиН-2003,true,37.0
67,2008-02-29,4000000000,Красноярский край,р. Енисей,Нитрит-ионы,4э,1,12.0,12.0,ПДК,Нитрит-ионы,4э,0.02,2016-12-13,2099-12-31,Минсельхоз-2016,false,0.24
68,2008-02-29,4000000000,Красноярский край,р. Обь,Железо общее,4,1,30.0,30.0,ПДК,Железо общее,4,0.1,1999-04-28,2010-01-17,Госкомрыболовство-99,true,3.0
69,2008-02-29,46000000000,Московская область,р. Волга,Аммоний-ион,4,5,11.0,15.0,ПДК,Аммоний-ион,4,1.5,2003-04-30,2021-01-27,СанПиН-2003,true,22.5
70,2008-02-29,46000000000,Московская область,р. Волга,Нитрит-ионы,4э,4,11.0,16.0,ПДК,Нитрит-ионы,4э,0.02,2016-12-13,2099-12-31,Минсельхоз-2016,false,0.32
71,2008-02-29,47000000000,Мурманская область,"малые реки, озера, водохранилища",Аммоний-ион,4,1,12.0,12.0,ПДК,Аммоний-ион,4,1.5,2003-04-30,2021-01-27,СанПиН-2003,true,18.0
72,2008-02-29,47000000000,Мурманская область,"малые реки, озера, водохранилища",Никель,3,1,22.0,22.0,ПДК,Никель,3,0.01,1999-04-28,2010-01-17,Госкомрыболовство-99,true,0.22
73,2008-02-29,22000000000,Нижегородская область,р. Волга,Сульфаты,4,1,12.0,12.0,ПДК,Сульфаты,4,500.0,2003-04-30,2021-01-27,СанПиН-2003,true,6000.0
74,2008-02-29,22000000000,Нижегородская область,р. Волга,Взвешенные вещества,0,2,10.0,18.0,ПДК,,,,,,,,
75,2008-02-29,52000000000,Омская область,р. Обь,Марганец,4,1,48.0,48.0,ПДК,Марганец,4,0.01,1999-04-28,2010-01-17,Госкомрыболовство-99,true,0.48
76,2008-02-29,53000000000,Оренбургская область,р. Урал,Цинк,3,1,17.0,17.0,ПДК,Цинк,3,1.0,2003-04-30,2021-01-27,СанПиН-2003,true,17.0
77,2008-02-29,57000000000,Пермский край,р. Волга,Взвешенные вещества,0,3,26.0,50.0,ПДК,,,,,,,,
78,2008-02-29,57000000000,Пермский край,р. Волга,Железо общее,4,1,41.0,41.0,ПДК,Железо общее,4,0.1,1999-04-28,2010-01-17,Госкомрыболовство-99,true,4.1000000000000005
79,2008-02-29,57000000000,Пермский край,р. Волга,Марганец,4,1,42.0,42.0,ПДК,Марганец,4,0.01,1999-04-28,2010-01-17,Госкомрыболовство-99,true,0.42
80,2008-02-29,57000000000,Пермский край,р. Кама,Никель,3,1,18.0,18.0,ПДК,Никель,3,0.01,1999-04-28,2010-01-17,Госкомрыболовство-99,true,0.18
81,2008-02-29,5000000000,Приморский край,р. Амур,Железо общее,4,2,36.0,43.0,ПДК,Железо общее,4,0.1,1999-04-28,2010-01-17,Госкомрыболовство-99,true,4.3
82,2008-02-29,5000000000,Приморский край,р. Амур,Аммоний-ион,4,1,14.0,14.0,ПДК,Аммоний-ион,4,1.5,2003-04-30,2021-01-27,СанПиН-2003,true,21.0
83,2008-02-29,5000000000,Приморский край,р. Амур,Марганец,4,3,46.0,49.0,ПДК,Марганец,4,0.01,1999-04-28,2010-01-17,Госкомрыболовство-99,true,0.49
84,2008-02-29,5000000000,Приморский край,р. Амур,БПК5,0,3,6.0,19.0,ПДК,,,,,,,,
85,2008-02-29,5000000000,Приморский край,р. Амур,Растворенный кислород,0,1,2.9,2.9,мг/л,,,,,,,,2.9
86,2008-02-29,5000000000,Приморский край,р. Амур,Сульфиды и сероводород,4,2,2.0E-4,4.0E-4,мг/л,Сульфиды и сероводород,4,0.05,2003-04-30,2021-01-27,СанПиН-2003,true,4.0E-4
87,2008-02-29,5000000000,Приморский край,"малые реки, озера, водохранилища",Фосфаты,4э,1,30.0,30.0,ПДК,Фосфаты,4э,0.2,1999-04-28,2010-01-17,Госкомрыболовство-99,true,6.0
88,2008-02-29,5000000000,Приморский край,"малые реки, озера, водохранилища",Марганец,4,1,41.0,41.0,ПДК,Марганец,4,0.01,1999-04-28,2010-01-17,Госкомрыболовство-99,true,0.41000000000000003
89,2008-02-29,5000000000,Приморский край,"малые реки, озера, водохранилища",Аммоний-ион,4,1,18.0,18.0,ПДК,Аммоний-ион,4,1.5,2003-04-30,2021-01-27,СанПиН-2003,true,27.0
90,2008-02-29,5000000000,Приморский край,"малые реки, озера, водохранилища",Железо общее,4,1,30.0,30.0,ПДК,Железо общее,4,0.1,1999-04-28,2010-01-17,Госкомрыболовство-99,true,3.0
91,2008-02-29,5000000000,Приморский край,"малые реки, озера, водохранилища",Цинк,3,1,24.0,24.0,ПДК,Цинк,3,1.0,2003-04-30,2021-01-27,СанПиН-2003,true,24.0
92,2008-02-29,5000000000,Приморский край,"малые реки, озера, водохранилища",БПК5,0,1,18.0,18.0,ПДК,,,,,,,,
93,2008-02-29,61000000000,Рязанская область,р. Волга,Железо общее,4,2,36.0,36.0,ПДК,Железо общее,4,0.1,1999-04-28,2010-01-17,Госкомрыболовство-99,true,3.6
