id,period,okato,subject,river_basin,indicator,hazard_class,cnt_cases,value_min,value_max,unit,indicator,pdk_hazard_class,pdk_value,date_start,date_end,ingredient_npa,in_period,concentration_mg_l
493,2008-10-31,10000000000,Амурская область,р. Амур,БПК5,0,1,6.0,6.0,ПДК,,,,,,,,
495,2008-10-31,19000000000,Вологодская область,р. Северная Двина,БПК5,0,1,12.0,12.0,ПДК,,,,,,,,
499,2008-10-31,33000000000,Кировская область,р. Волга,Взвешенные вещества,0,2,10.0,12.0,ПДК,,,,,,,,
500,2008-10-31,33000000000,Кировская область,р. Северная Двина,Взвешенные вещества,0,1,13.0,13.0,ПДК,,,,,,,,
501,2008-10-31,37000000000,Курганская область,р. Обь,Взвешенные вещества,0,5,13.0,29.0,ПДК,,,,,,,,
502,2008-10-31,41000000000,Ленинградская область,"малые реки, озера, водохранилища",ХПК,0,1,11.0,11.0,ПДК,,,,,,,,
508,2008-10-31,22000000000,Нижегородская область,р. Волга,Взвешенные вещества,0,1,11.0,11.0,ПДК,,,,,,,,
513,2008-10-31,57000000000,Пермский край,р. Волга,Взвешенные вещества,0,7,14.0,25.0,ПДК,,,,,,,,
515,2008-10-31,57000000000,Пермский край,р. Кама,Взвешенные вещества,0,2,18.0,19.0,ПДК,,,,,,,,
518,2008-10-31,5000000000,Приморский край,"малые реки, озера, водохранилища",БПК5,0,1,6.0,6.0,ПДК,,,,,,,,
524,2008-10-31,36000000000,Самарская область,р. Волга,ХПК,0,1,18.0,18.0,ПДК,,,,,,,,
525,2008-10-31,65000000000,Свердловская область,р. Волга,Взвешенные вещества,0,2,15.0,15.0,ПДК,,,,,,,,
527,2008-10-31,65000000000,Свердловская область,р. Обь,Взвешенные вещества,0,19,10.0,17.0,ПДК,,,,,,,,
533,2008-10-31,8000000000,Хабаровский край,р. Амур,БПК5,0,1,18.0,18.0,ПДК,,,,,,,,
537,2008-10-31,75000000000,Челябинская область,р. Обь,Взвешенные вещества,0,1,23.0,23.0,ПДК,,,,,,,,
544,2008-11-30,19000000000,Вологодская область,р. Волга,ХПК,0,1,11.0,11.0,ПДК,,,,,,,,
548,2008-11-30,33000000000,Кировская область,р. Волга,Взвешенные вещества,0,3,10.0,14.0,ПДК,,,,,,,,
550,2008-11-30,37000000000,Курганская область,р. Обь,Взвешенные вещества,0,4,19.0,26.0,ПДК,,,,,,,,
556,2008-11-30,22000000000,Нижегородская область,р. Волга,Взвешенные вещества,0,3,12.0,17.0,ПДК,,,,,,,,
562,2008-11-30,57000000000,Пермский край,р. Волга,Взвешенные вещества,0,6,12.0,42.0,ПДК,,,,,,,,
570,2008-11-30,5000000000,Приморский край,р. Амур,БПК5,0,1,8.0,8.0,ПДК,,,,,,,,
574,2008-11-30,65000000000,Свердловская область,р. Волга,Взвешенные вещества,0,4,11.0,15.0,ПДК,,,,,,,,
578,2008-11-30,65000000000,Свердловская область,р. Обь,Взвешенные вещества,0,15,11.0,37.0,ПДК,,,,,,,,
584,2008-11-30,75000000000,Челябинская область,р. Обь,Взвешенные вещества,0,1,19.0,19.0,ПДК,,,,,,,,
590,2008-12-31,19000000000,Вологодская область,р. Северная Двина,БПК5,0,1,5.0,5.0,ПДК,,,,,,,,
591,2008-12-31,33000000000,Кировская область,р. Волга,Взвешенные вещества,0,4,14.0,34.0,ПДК,,,,,,,,
593,2008-12-31,37000000000,Курганская область,р. Обь,Взвешенные вещества,0,5,14.0,23.0,ПДК,,,,,,,,
594,2008-12-31,41000000000,Ленинградская область,"малые реки, озера, водохранилища",ХПК,0,2,12.0,14.0,ПДК,,,,,,,,
599,2008-12-31,22000000000,Нижегородская область,р. Волга,Взвешенные вещества,0,6,11.0,20.0,ПДК,,,,,,,,
602,2008-12-31,57000000000,Пермский край,р. Волга,Взвешенные вещества,0,4,11.0,37.0,ПДК,,,,,,,,
610,2008-12-31,5000000000,Приморский край,р. Амур,БПК5,0,1,19.0,19.0,ПДК,,,,,,,,
614,2008-12-31,65000000000,Свердловская область,р. Волга,Взвешенные вещества,0,1,18.0,18.0,ПДК,,,,,,,,
615,2008-12-31,65000000000,Свердловская область,р. Обь,Взвешенные вещества,0,18,10.0,40.0,ПДК,,,,,,,,
622,2008-12-31,94000000000,Удмуртская Республика,р. Волга,Взвешенные вещества,0,2,11.0,12.0,ПДК,,,,,,,,
626,2008-12-31,75000000000,Челябинская область,р. Обь,Взвешенные вещества,0,1,17.0,17.0,ПДК,,,,,,,,
630,2009-01-31,19000000000,Вологодская область,р. Северная Двина,ХПК,0,1,15.0,15.0,ПДК,,,,,,,,
633,2009-01-31,33000000000,Кировская область,р. Волга,Взвешенные вещества,0,4,21.0,21.0,ПДК,,,,,,,,
636,2009-01-31,41000000000,Ленинградская область,"малые реки, озера, водохранилища",ХПК,0,1,12.0,12.0,ПДК,,,,,,,,
646,2009-01-31,22000000000,Нижегородская область,р. Волга,Взвешенные вещества,0,2,18.0,18.0,ПДК,,,,,,,,
650,2009-01-31,57000000000,Пермский край,р. Волга,Взвешенные вещества,0,2,26.0,26.0,ПДК,,,,,,,,
661,2009-01-31,88000000000,Республика Марий Эл,р. Волга,Взвешенные вещества,0,2,20.0,20.0,ПДК,,,,,,,,
665,2009-01-31,65000000000,Свердловская область,р. Волга,Взвешенные вещества,0,1,17.0,17.0,ПДК,,,,,,,,
670,2009-01-31,65000000000,Свердловская область,р. Обь,Взвешенные вещества,0,17,41.0,41.0,ПДК,,,,,,,,
673,2009-01-31,70000000000,Тульская область,р. Волга,ХПК,0,1,15.0,15.0,ПДК,,,,,,,,
684,2009-02-28,19000000000,Вологодская область,р. Северная Двина,ХПК,0,1,15.0,15.0,ПДК,,,,,,,,
688,2009-02-28,33000000000,Кировская область,р. Волга,Взвешенные вещества,0,3,10.0,18.0,ПДК,,,,,,,,
