"id";"period";"okato";"subject";"river_basin";"indicator";"hazard_class";"cnt_cases";"value_min";"value_max";"unit"
85;2008-02-29;"05000000000";Приморский край;р. Амур;Растворенный кислород;"";"1";2.9;2.9;мг/л
86;2008-02-29;"05000000000";Приморский край;р. Амур;Сульфиды и сероводород;"4";"2";0.0002;0.0004;мг/л
87;2008-02-29;"05000000000";Приморский край;малые реки, озера, водохранилища;Фосфаты;"4э";"1";30;30;ПДК
88;2008-02-29;"05000000000";Приморский край;малые реки, озера, водохранилища;Марганец;"4";"1";41;41;ПДК
89;2008-02-29;"05000000000";Приморский край;малые реки, озера, водохранилища;Аммоний-ион;"4";"1";18;18;ПДК
90;2008-02-29;"05000000000";Приморский край;малые реки, озера, водохранилища;Железо общее;"4";"1";30;30;ПДК
91;2008-02-29;"05000000000";Приморский край;малые реки, озера, водохранилища;Цинк;"3";"1";24;24;ПДК
92;2008-02-29;"05000000000";Приморский край;малые реки, озера, водохранилища;БПК5;"";"1";18;18;ПДК
93;2008-02-29;"61000000000";Рязанская область;р. Волга;Железо общее;"4";"2";36;36;ПДК
94;2008-02-29;"61000000000";Рязанская область;малые реки, озера, водохранилища;Железо общее;"4";"1";49;49;ПДК
95;2008-02-29;"36000000000";Самарская область;р. Волга;Растворенный кислород;"";"1";2.71;2.71;мг/л
96;2008-02-29;"36000000000";Самарская область;р. Волга;ХПК;"";"1";19;19;ПДК
97;2008-02-29;"36000000000";Самарская область;р. Волга;БПК5;"";"1";34;34;ПДК
98;2008-02-29;"64000000000";Сахалинская область;малые реки, озера, водохранилища;Нитрит-ионы;"4э";"1";15;15;ПДК
99;2008-02-29;"64000000000";Сахалинская область;малые реки, озера, водохранилища;Аммоний-ион;"4";"1";28;28;ПДК
