water_body,total_cases,avg_concentration,avg_exceed_ratio,records
р. Чепца,17,98.70588235294117,0.0,17
р. Ловать,3,2.6999999999999997,5000.0,3
р. Карабула,2,95.5,95500.0,2
р. Пра,1,50.0,500.0,1
р. Лоза,9,126.88888888888889,0.0,9
р. Кушва,2,54.0,5400.0,2
оз. Большое Островное,15,5.4333333333333345,3050.0,15
р. Тауй,8,61.75,59562.5,8
р. Туртас,7,106.42857142857143,10642.857142857143,7
р. Шиш,18,93.55555555555556,9355.555555555555,18
р. Северная Двина,7,13.714285714285714,0.0,7
р. Озерная,13,78.3076923076923,720.0,13
р. Конда,12,84.75,14925.0,12
руч. Варничный,64,34.453125,39.5897435897436,64
р. Детрин,2,256.0,58000.0,2
р. Ельцовка-2,2,84.5,6900.0,2
р. Рыбная,3,48.666666666666664,48666.666666666664,3
р. Тюкан,5,70.2,2700.0,5
р. Омь,200,80.04590000000002,10379.927536231884,200
р. Кневичанка,8,3.0259,5.357333333333333,8
р. Плющиха,58,87.09310344827585,12202.456140350878,58
р. Юргамыш,2,100.0,0.0,2
р. Уемлянка,1,233.0,0.0,1
р. Криуша,2,86.0,8600.0,2
вдхр. Братское (р. Ангара),1,61.0,0.0,1
р. Лысьва,3,70.33333333333333,0.0,3
р. Ляпин,1,79.0,79000.0,1
р. Ул,10,144.1,137170.0,10
р. Пивоварка,15,112.33333333333333,262.35555555555555,15
р. Туапсе,1,16773.0,0.0,1
р. Селенга,1,66.0,6600.0,1
р. Бира,5,75.6,36180.0,5
р. Воркута,11,12.636363636363637,12636.363636363636,11
р. Ия,1,61.0,0.0,1
р. Лозьва,2,57.0,0.0,2
р. Старожиловка,1,58.0,5800.0,1
р. Талок,2,201.5,201500.0,2
р. Китой,5,85.0,0.0,5
"ручей без названия, бассейн озера Пореченского",4,67.0,54.44444444444445,4
р. Тьмака,5,72.0,7200.0,5
пр. Лангепас,3,129.66666666666666,10633.333333333334,3
оз. Малые Чаны,2,1.5499999999999998,0.0,2
р. Ушаковка,1,84.0,0.0,1
р. Пельшма,103,35.67368932038834,53102.35294117647,103
р. Нама-Йоки,3,56.666666666666664,0.0,3
р. Язьва,1,82.0,0.0,1
оз. Жарылдыколь,1,6.0,0.0,1
р. Железянка,1,55.0,5500.0,1
р. Олекма,1,59.0,0.0,1
р. Хор,15,31.266666666666666,28655.55555555556,15
р. Хаукилампийоки,44,30.5,24650.0,44
р. Тобол,166,83.31927710843374,8338.961038961039,166
р. Лобва,6,75.16666666666667,7300.0,6
р. Ягорба,4,6.0,0.0,4
р. Блява,159,141.1320754716981,117811.32075471699,159
р. Камышенка,43,84.62790697674419,8328.048780487805,43
"вдхр. Северское, р. Северушка",12,764.3333333333334,275284.5833333333,12
р. Псекупс,2,3606.5,0.0,2
р. Позимь,1,100.0,0.0,1
р. Можель,7,36.142857142857146,5671.428571428572,7
р. Вязовка,6,66.83333333333333,6166.666666666667,6
прот. Кузнечиха реки Северная Двина,2,43.0,0.0,2
р. Большая Пера,2,59.0,3515.0,2
р. Жданка,3,22.933333333333334,0.0,3
р. Большой Иргиз,30,110.2,11020.0,30
р. Тура,183,50.2075956284153,7297.115384615385,183
р. Иж,2,58.0,0.0,2
р. Ельцовка-1,2,55.0,5500.0,2
"ручей, впадающий в реку Клязьму",11,95.0,0.0,2
р. Березовка (приток р. Пышма),1,98.0,0.0,1
вдхр. Нижнекамское,4,110.75,0.0,4
р. Шограш,7,42.91857142857143,49.50000000000001,7
р. Иркут,8,62.5,0.0,8
р. Псел,4,70.85,41050.0,4
р. Клязьма,3,38.0,302.0,3
р. Большой Аев,3,67.0,6700.0,3
"р. Лубья, устье",1,120.0,12000.0,1
р. Амбарная,3,100.0,0.0,3
р. Колва,8,100.93,19833.333333333332,8
оз. Бутырино,19,77.46315789473684,2950.0,19
руч. Орловский (приток р. Ай),4,205.45,0.0,4
р. Кулой,2,82.0,8200.0,2
р. Ускат,7,20.810000000000002,1893.0,7
р. Мурзинка,1,88.0,2200.0,1
р. Уса,8,501.625,19998.75,8
р. Зея,2,12.5,12500.0,2
р. Чусовая,40,76.525,10458.823529411764,40
р. Сейм,1,1.9,0.0,1
р. Днепр,24,0.6875,0.0,24
р. Мураниха,4,50.375,0.0,4
р. Лежа,2,1.6,0.0,2
ручей Безымянный,1,117.0,11700.0,1
р. Полуй,49,45.81469387755102,10902.0,49
р. Адамка,27,181.7037037037037,0.0,27
р. Северушка,189,221.87301587301587,22447.31182795699,189
р. Архара,2,71.0,1775.0,2
р. Грязнушка,1,56.0,5600.0,1
р. Увелька,4,15.6775,6000.0,4
вдхр. Верхне-Исетское,5,121.18599999999999,0.0,5
р. Амгунь,23,95.73913043478261,30911.739130434784,23
р. Синара,1,137.0,0.0,1
р. Ныда,7,54.42857142857143,5221.666666666667,7
р. Воймега,3,1.3666666666666665,0.0,3
прот. Городецкий Шар,3,78.33333333333333,7833.333333333333,3
р. Кашинка,1,76.0,76000.0,1
р. Быстрая,1,54.0,0.0,1
вдхр. Воткинское (р. Кама),1,62.0,0.0,1
пр. Амурская,1,8.0,8000.0,1
р. Лая,30,71.8,53380.0,30
р. Миасс,25,87.49600000000001,4850.0,25
р. Уфа,23,92.2813043478261,5800.0,23
р. Щучья,7,58.57142857142857,7500.0,7
р. Камбилеевка,14,42.857142857142854,64000.0,14
р. Салда,86,119.5636046511628,72534.14634146342,86
пруд Новый Байкал,1,61.0,6100.0,1
р. Ишим,9,52.77777777777778,6100.0,9
р. Валава,4,40.2325,0.0,4
р. Углегорка,1,58.0,580.0,1
р. Лена,2,58.0,0.0,2
р. Магаданка,1,526.0,0.0,1
руч. Капральев,5,2.26,0.0,5
р. Косьва,55,80.52727272727273,15649.423076923076,55
р. Исеть,355,93.2221875,8564.96,352
р. Ингода,1,55.0,2750.0,1
р. Кия,12,52.833333333333336,41316.66666666667,12
р. Городецкий Шар,2,113.0,11300.0,2
вдхр. Нижнетуринское (р. Тура),2,95.0,0.0,2
р. Чапаевка,93,24.34861111111111,8314.285714285714,72
р. Светлая,2,134.0,1340.0,2
р. Седанка,1,30.0,0.0,1
р. Малая Бира,1,68.0,6800.0,1
вдхр. Волчихинское,9,64.44444444444444,6444.444444444444,9
р. Большая Воровская,4,58.0,10000.0,4
р. Чита,1,76.0,3800.0,1
р. Ивдель,1,112.0,112000.0,1
р. Исток,4,3848.75,1122312.5,4
р. Сосьва,5,79.0,92000.0,5
р. Сура,1,0.75,0.0,1
вдхр. Ветлянское,2,88.5,8850.0,2
р. Большой Рефт,1,129.0,6450.0,1
р. Енисей,3,143.66666666666666,16550.0,3
р. Пяку-Пур,29,71.86206896551724,10612.413793103447,29
р. Полуденка (приток р. Рефт),4,67.0,55525.0,4
р. Пим,2,70.0,7000.0,2
р. Лихоборка,8,1063.625,125153.33333333333,8
р. Вишера,5,84.0,0.0,5
р. Островная,18,127.21666666666667,2308.6,18
р. Пахотка,54,103.53703703703704,4675.0,54
р. Сибирка,11,86.81818181818181,8681.818181818182,11
р. Тагил,49,84.3061224489796,8483.720930232557,49
р. Ульдза-Гол,2,38.5,0.0,2
оз. Б.Вудъявр,2,9.73,0.0,2
р. Многа,1,57.0,38.0,1
р. Сысола,9,942.4444444444445,628.2962962962962,9
р. Амур,13,37.46153846153846,5370.0,13
р. Тартас,9,357.1111111111111,7361.111111111111,9
Губа Тазовская,6,117.33333333333333,11733.333333333334,6
р. Мышега,27,40.22222222222222,4050.0,27
р. Гдовка,6,0.7999999999999999,0.0,6
р. Кересть,1,75.0,7500.0,1
р. Луга,1,5.0,5000.0,1
р. Малый Бачат,16,71.875,7187.5,16
