indicator,year,month,avg_concentration
ГХЦГ,2008,9,9.0
ГХЦГ,2008,10,20.0
ГХЦГ,2008,11,10.0
ГХЦГ,2008,12,7.0
ГХЦГ,2009,6,9.0
ГХЦГ,2009,10,5.1
ГХЦГ,2010,6,7.666666666666667
ГХЦГ,2011,3,6.0
ГХЦГ,2011,4,7.0
ГХЦГ,2011,5,10.0
ГХЦГ,2011,6,29.333333333333332
ГХЦГ,2011,10,13.428571428571429
ГХЦГ,2012,6,7.25
ГХЦГ,2012,9,7.0
ГХЦГ,2012,10,7.5
ГХЦГ,2015,7,7.0
ГХЦГ,2016,4,5.0
ГХЦГ,2016,9,21.0
ГХЦГ,2017,4,5.0
ГХЦГ,2017,5,5.333333333333333
ГХЦГ,2017,6,5.0
ГХЦГ,2017,8,8.0
ГХЦГ,2017,10,6.0
ГХЦГ,2019,10,7.0
ДДТ,2008,10,6.0
ДДТ,2011,5,8.0
ДДТ,2011,6,11.0
ДДТ,2012,2,18.0
ДДТ,2013,3,28.0
ДДТ,2015,7,9.333333333333334
ДДТ,2018,7,6.0
ДДТ,2018,11,5.0
ДДТ,2019,9,22.0
ДДТ,2020,4,5.0
ДДТ,2020,5,8.5
ДДТ,2020,7,62.0
ДДТ,2021,4,10.0
ДДТ,2021,7,14.0
Дитиофосфат крезиловый,2008,4,55.0
Дитиофосфат крезиловый,2008,6,130.0
Дитиофосфат крезиловый,2008,9,50.0
Дитиофосфат крезиловый,2008,12,50.0
Дитиофосфат крезиловый,2009,2,56.666666666666664
Дитиофосфат крезиловый,2009,5,80.0
Дитиофосфат крезиловый,2009,6,60.0
Дитиофосфат крезиловый,2010,3,60.0
Дитиофосфат крезиловый,2010,4,55.0
Дитиофосфат крезиловый,2010,5,60.0
Дитиофосфат крезиловый,2010,7,60.0
Дитиофосфат крезиловый,2010,8,50.0
Дитиофосфат крезиловый,2011,2,50.0
Дитиофосфат крезиловый,2011,3,65.0
Дитиофосфат крезиловый,2011,11,50.0
Дитиофосфат крезиловый,2012,6,90.0
Дихлордифенилдихлорэтилен (ДДЭ),2019,9,7.0
Дихлорфенол,2015,9,8.0
Железо общее,2008,1,803.0
Железо общее,2008,2,999.6666666666666
Железо общее,2008,3,698.0
Железо общее,2008,4,309.6666666666667
Железо общее,2008,5,186.5
Железо общее,2008,6,1180.0
Железо общее,2008,7,811.225
Железо общее,2008,8,596.0
Железо общее,2008,9,107.0
Железо общее,2008,10,261.0
Железо общее,2008,11,363.5
Железо общее,2008,12,638.0
Железо общее,2009,1,1136.6666666666667
Железо общее,2009,2,744.0
Железо общее,2009,3,1021.6666666666666
Железо общее,2009,4,286.0
Железо общее,2009,5,280.0
Железо общее,2009,6,309.1666666666667
Железо общее,2009,7,945.25
Железо общее,2009,8,980.0
Железо общее,2009,9,486.5
Железо общее,2009,10,282.5
Железо общее,2009,11,53.0
Железо общее,2010,1,63.0
Железо общее,2010,2,1053.4
Железо общее,2010,3,534.5
Железо общее,2010,4,186.0
Железо общее,2010,5,106.0
Железо общее,2010,6,805.5
Железо общее,2010,7,722.75
Железо общее,2010,8,3590.0
Железо общее,2010,9,69.0
Железо общее,2010,10,1010.5
Железо общее,2010,11,2131.0
Железо общее,2010,12,133.66666666666666
Железо общее,2011,1,57.0
Железо общее,2011,2,63.4
Железо общее,2011,3,461.0
Железо общее,2011,4,182.0
Железо общее,2011,7,2180.0
Железо общее,2011,8,745.8
Железо общее,2011,9,1009.75
Железо общее,2011,10,627.0
Железо общее,2011,11,221.77777777777777
Железо общее,2011,12,976.6666666666666
Железо общее,2012,2,1236.3333333333333
Железо общее,2012,3,593.6666666666666
Железо общее,2012,4,1048.6666666666667
Железо общее,2012,5,473.26000000000005
Железо общее,2012,6,165.85714285714286
Железо общее,2012,7,659.0
Железо общее,2012,8,1843.5
Железо общее,2012,9,545.0
Железо общее,2012,10,471.5
Железо общее,2012,11,944.5
Железо общее,2012,12,670.75
Железо общее,2013,1,1547.5
Железо общее,2013,2,850.75
Железо общее,2013,3,1116.0
Железо общее,2013,4,437.5
Железо общее,2013,5,530.3333333333334
Железо общее,2013,6,842.6666666666666
Железо общее,2013,7,1210.0
Железо общее,2013,8,3880.0
Железо общее,2013,9,1140.5
Железо общее,2013,10,261.75
Железо общее,2013,11,377.5
Железо общее,2013,12,597.3333333333334
Железо общее,2014,2,1562.0
Железо общее,2014,3,843.3333333333334
Железо общее,2014,4,492.5
Железо общее,2014,5,228.0
Железо общее,2014,6,1846.0
Железо общее,2014,7,343.1666666666667
Железо общее,2014,8,616.6363636363636
Железо общее,2014,9,474.5
Железо общее,2014,10,134.0
Железо общее,2014,11,856.0
Железо общее,2014,12,1216.5
Железо общее,2015,3,75.33333333333333
Железо общее,2015,6,58.5
Железо общее,2015,8,80.0
Железо общее,2015,9,72.5
Железо общее,2015,10,54.0
Железо общее,2015,12,100.5
Железо общее,2016,1,1629.6666666666667
Железо общее,2016,2,50.0
Железо общее,2016,3,57.5
Железо общее,2016,8,53.5
Железо общее,2016,10,60.0
Железо общее,2017,2,135.0
Железо общее,2017,5,74.0
Железо общее,2017,9,64.0
Железо общее,2018,3,69.0
Железо общее,2018,4,76.66666666666667
Железо общее,2018,8,73.0
Железо общее,2018,9,63.0
Железо общее,2018,11,50.0
Железо общее,2019,3,50.0
Железо общее,2019,4,84.0
Железо общее,2019,11,52.0
Железо общее,2019,12,54.25
Железо общее,2020,1,84.0
Железо общее,2020,2,64.66666666666667
Железо общее,2020,3,56.0
Железо общее,2020,4,108.0
Железо общее,2020,6,51.0
Железо общее,2020,8,68.0
Железо общее,2020,9,82.0
Железо общее,2020,10,58.0
Железо общее,2020,11,82.0
Железо общее,2020,12,87.0
Железо общее,2021,1,81.0
Железо общее,2021,2,64.6
Железо общее,2021,3,292.7
Железо общее,2021,4,83.4
Железо общее,2021,5,480.5
Железо общее,2021,6,59.0
Железо общее,2021,8,52.0
Запах,2019,8,5.0
Запах,2020,2,5.0
Запах,2020,6,5.0
Запах,2020,7,5.0
Запах,2020,8,5.0
Запах,2020,10,5.0
Запах,2020,11,5.0
Запах,2021,2,5.0
Запах,2021,6,5.0
Запах,2021,7,5.0
Запах,2021,8,5.0
Изопропанол,2020,10,360.0
Кадмий,2008,1,6.0
Кадмий,2008,2,18.0
Кадмий,2008,3,6.0
Кадмий,2008,4,6.0
Кадмий,2008,5,77.25
Кадмий,2012,12,13.5
Кадмий,2013,3,21.5
Кадмий,2013,5,45.5
Кадмий,2014,9,5.0
Кадмий,2014,11,10.0
Кадмий,2015,4,22.666666666666668
Кадмий,2015,6,13.0
Кадмий,2015,7,13.0
Кадмий,2015,11,16.0
Кадмий,2015,12,10.0
Кадмий,2016,1,80.0
Кадмий,2016,9,12.75
Кадмий,2016,10,146.0
Кадмий,2018,9,5.0
Кадмий,2018,10,7.5
Кадмий,2019,1,5.0
Кадмий,2019,4,13.0
Кадмий,2019,5,13.375
Кадмий,2019,6,5.75
Кадмий,2019,9,10.0
Кадмий,2019,10,14.333333333333334
Кадмий,2019,12,15.0
Кадмий,2020,10,5.0
Кадмий,2021,5,10.0
Кадмий,2021,8,7.0
Лигнин сульфатный,2018,10,107.0
Лигносульфонаты,2008,2,84.0
Лигносульфонаты,2009,9,80.0
Лигносульфонаты,2011,7,52.0
Лигносульфонаты,2013,1,55.0
